city_or_county,state_abr,population,n_injured,n_rpts,n_killed
Maplewood,NJ,25008,1,5,5
Marana,AZ,41315,0,2,1
Marblehead,MA,19808,0,8,0
Marco Island,FL,17690,0,3,1
Margate,FL,57234,8,8,3
Maricopa,AZ,48602,3,12,8
Marietta,GA,59067,30,69,33
Marina,CA,21229,0,10,1
Mariners Harbor,NY,19905,0,1,1
Marion,IA,37330,3,8,1
Marion,IL,17803,8,21,4
Marion,IN,29081,9,14,7
Marion,OH,36363,5,24,4
Marlboro,NJ,40191,1,1,1
Marlborough,MA,39818,0,8,0
Marquette,MI,21297,1,8,5
Marrero,LA,33141,81,125,35
Marshall,TX,23820,12,49,14
Marshalltown,IA,27620,2,9,3
Marshfield,WI,18620,2,6,0
Martinez,CA,38137,7,12,3
Martinez,GA,35795,0,2,0
Martinsburg,WV,17700,4,23,5
Maryland Heights,MO,27389,3,12,1
Marysville,OH,22817,0,2,0
Marysville,WA,66773,11,35,6
Maryvale,AZ,208189,0,1,1
Maryville,TN,28464,8,20,4
Mason,OH,32662,0,5,1
Mason City,IA,27366,4,21,3
Maspeth,NY,48325,2,2,0
Massapequa,NY,21685,2,4,0
Massillon,OH,32252,7,29,12
