city_or_county,state_abr,population,n_injured,n_rpts,n_killed
Morganton,NC,16692,4,15,7
Morgantown,WV,30708,23,59,10
Morristown,NJ,18594,2,6,0
Morristown,TN,29478,6,14,3
Morrisville,NC,23820,5,45,2
Morton,IL,16306,0,1,0
Morton Grove,IL,23448,0,1,2
Moscow,ID,25060,2,12,4
Moses Lake,WA,22082,13,44,8
Mount Clemens,MI,16400,7,14,1
Mount Juliet,TN,31540,2,26,5
Mount Laurel,NJ,41864,6,9,0
Mount Pleasant,MI,26060,2,13,3
Mount Pleasant,SC,81317,6,28,4
Mount Pleasant,TX,16051,2,2,0
Mount Pleasant,WI,26272,2,9,1
Mount Prospect,IL,54747,1,11,1
Mount Vernon,IL,15087,6,35,3
Mount Vernon,NY,68628,35,41,15
Mount Vernon,OH,16742,1,5,3
Mount Vernon,WA,34053,2,11,7
Mountain Brook,AL,20691,0,2,0
Mountain View,CA,80435,0,11,5
Mountlake Terrace,WA,20989,2,7,2
Mukilteo,WA,21226,3,5,5
Muncie,IN,70087,46,87,19
Munster,IN,22984,3,9,3
Murfreesboro,TN,126118,65,167,22
Murphy,TX,20610,0,1,3
Murray,KY,18954,3,15,6
Murray,UT,49250,0,2,0
Murrieta,CA,109830,1,13,5
Murrysville,PA,20134,2,3,0
Muscatine,IA,23968,10,39,1
Muskego,WI,24755,1,3,2
Muskegon,MI,38401,38,67,13
Muskogee,OK,38456,29,58,11
Mustang,OK,20226,0,3,0
Myrtle Beach,SC,31035,137,342,48
Nacogdoches,TX,33894,11,26,10
Nampa,ID,89839,9,54,13
Nanuet,NY,17882,1,4,0
Napa,CA,80434,5,11,7
Naperville,IL,147100,2,16,1
Naples,FL,21512,18,112,24
Narragansett,RI,15868,0,1,0
Nashua,NH,87970,19,63,5
Nashville,TN,530852,796,1319,261
Natchez,MS,15128,34,69,24
Natchitoches,LA,18365,18,47,11
Natick,MA,32276,0,7,0
National City,CA,61060,7,12,6
Naugatuck,CT,31538,2,16,1
Navarre,FL,31378,4,8,1
Nederland,TX,17196,0,4,0
Needham,MA,28886,0,1,0
Neenah,WI,25792,2,10,1
New Albany,IN,36732,7,19,6
New Bedford,MA,94958,50,241,19
New Berlin,WI,39825,1,6,3
New Bern,NC,30070,39,82,12
New Braunfels,TX,70543,10,24,7
New Brighton,MN,22351,1,3,1
