antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Possession of gun by felon or prohibited person'})",frozenset({'Stolen/Illegally owned gun{s} recovered during arrest/warrant'}),0.0381428757689618,0.03826733201370204,0.011473680467481361,0.3008079552517091,7.860698392665617,0.01001405437647311,1.3754914335910697
frozenset({'ATF/LE Confiscation/Raid/Arrest'}),"frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",0.09484751146775398,0.022396197565398793,0.016558607038296966,0.17458135466133468,7.79513371194116,0.01443438343287872,1.1843732970600573
"frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.022396197565398793,0.09484751146775398,0.016558607038296966,0.7393490341360148,7.79513371194116,0.01443438343287872,3.4726611717394498
"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Possession (gun(s) found during commission of other crimes)'})","frozenset({'Drug involvement', 'Possession of gun by felon or prohibited person'})",0.07562791138715375,0.02854196546042884,0.016558607038296966,0.21894835827913176,7.671103049391823,0.01440003780364045,1.2437820787357747
"frozenset({'Drug involvement', 'Possession of gun by felon or prohibited person'})","frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Possession (gun(s) found during commission of other crimes)'})",0.02854196546042884,0.07562791138715375,0.016558607038296966,0.5801495016611297,7.671103049391823,0.01440003780364045,2.201669623521003
"frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Possession of gun by felon or prohibited person'})","frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)'})",0.0381428757689618,0.05725579906835611,0.016558607038296966,0.43412057178371666,7.582124061624433,0.01437470620738002,1.6659806911576225
"frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)'})","frozenset({'ATF/LE Confiscation/Raid/Arrest', 'Possession of gun by felon or prohibited person'})",0.05725579906835611,0.0381428757689618,0.016558607038296966,0.28920401614739677,7.582124061624433,0.01437470620738002,1.353211253414309
frozenset({'ATF/LE Confiscation/Raid/Arrest'}),"frozenset({'Drug involvement', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant'})",0.09484751146775398,0.015171808882619982,0.010786207877487644,0.1137215696075981,7.495584111784554,0.009347199560506773,1.1111950345912684
"frozenset({'Drug involvement', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.015171808882619982,0.09484751146775398,0.010786207877487644,0.7109375,7.495584111784553,0.009347199560506773,3.1313383387061484
frozenset({'ATF/LE Confiscation/Raid/Arrest'}),"frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)'})",0.09484751146775398,0.05725579906835611,0.03943485011912241,0.4157710572356911,7.261640986606676,0.034004280060391086,1.6136554215732652
"frozenset({'Drug involvement', 'Possession (gun(s) found during commission of other crimes)'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.05725579906835611,0.09484751146775398,0.03943485011912241,0.688748576751889,7.261640986606676,0.034004280060391086,2.9081071472264814
frozenset({'ATF/LE Confiscation/Raid/Arrest'}),"frozenset({'Possession (gun(s) found during commission of other crimes)', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant'})",0.09484751146775398,0.025329809048561643,0.017091990944326573,0.1802049487628093,7.114342963159537,0.014689521590117105,1.1889193396331417
"frozenset({'Possession (gun(s) found during commission of other crimes)', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant'})",frozenset({'ATF/LE Confiscation/Raid/Arrest'}),0.025329809048561643,0.09484751146775398,0.017091990944326573,0.674777725783809,7.114342963159537,0.014689521590117105,2.7831811050264883
